file,sex,age,hairColor,eyeColor,skinTone,faceShape,noseStructure,lipStructure,cheekboneStructure,yaw_error
10663.jpg,female,10-19,black,brown,fair,round,straight,medium,soft,0.0
3525.jpg,male,20-29,black,brown,medium,square,straight,medium,soft,0.0
362.jpg,male,50-59,black,brown,brown,square,straight,medium,soft,0.0
7963.jpg,male,3-9,black,brown,brown,round,straight,medium,soft,0.0
1360.jpg,female,20-29,black,brown,olive,round,straight,medium,soft,0.001
1410.jpg,male,3-9,black,brown,olive,round,straight,medium,soft,0.001
3689.jpg,female,30-39,black,brown,dark,square,straight,medium,soft,0.001
4619.jpg,female,more than 70,black,brown,brown,square,straight,medium,soft,0.001
6277.jpg,female,3-9,black,brown,fair,round,straight,medium,soft,0.001
6362.jpg,male,20-29,black,brown,dark,square,straight,medium,soft,0.001
766.jpg,male,20-29,black,brown,dark,round,straight,medium,soft,0.001
8513.jpg,male,20-29,black,brown,fair,square,straight,medium,soft,0.001
10047.jpg,male,20-29,black,brown,fair,square,straight,medium,soft,0.002
10086.jpg,female,more than 70,black,brown,dark,square,straight,medium,soft,0.002
1133.jpg,female,40-49,black,brown,brown,round,straight,medium,soft,0.002
1359.jpg,male,20-29,black,brown,olive,round,straight,medium,soft,0.002
3575.jpg,male,40-49,black,brown,brown,square,straight,medium,soft,0.002
3938.jpg,male,20-29,black,brown,dark,square,straight,medium,soft,0.002
5104.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.002
5537.jpg,female,20-29,black,brown,olive,round,straight,medium,soft,0.002
7509.jpg,male,30-39,black,brown,fair,square,straight,medium,soft,0.002
7529.jpg,male,20-29,black,brown,fair,round,straight,medium,soft,0.002
7785.jpg,female,30-39,black,brown,medium,round,straight,medium,soft,0.002
8290.jpg,male,30-39,black,brown,dark,square,straight,medium,soft,0.002
8525.jpg,female,20-29,black,brown,dark,round,straight,medium,soft,0.002
10514.jpg,female,3-9,black,brown,fair,round,straight,medium,soft,0.003
1086.jpg,male,20-29,black,brown,fair,square,straight,medium,soft,0.003
10939.jpg,male,40-49,black,brown,dark,square,straight,medium,soft,0.003
1888.jpg,male,20-29,black,brown,dark,square,straight,medium,soft,0.003
258.jpg,female,0-2,black,brown,brown,round,straight,medium,soft,0.003
3851.jpg,female,50-59,black,brown,fair,square,straight,medium,soft,0.003
4106.jpg,male,40-49,black,brown,dark,square,straight,medium,soft,0.003
442.jpg,male,50-59,black,brown,medium,square,straight,medium,soft,0.003
5268.jpg,female,30-39,black,brown,olive,round,straight,medium,soft,0.003
5322.jpg,male,20-29,black,brown,olive,round,straight,medium,soft,0.003
5936.jpg,female,50-59,black,brown,fair,round,straight,medium,soft,0.003
6417.jpg,male,3-9,black,brown,dark,round,straight,medium,soft,0.003
6600.jpg,male,0-2,black,brown,fair,square,straight,medium,soft,0.003
7058.jpg,female,50-59,black,brown,olive,square,straight,medium,soft,0.003
769.jpg,female,3-9,black,brown,fair,round,straight,medium,soft,0.003
8175.jpg,male,20-29,black,brown,medium,round,straight,medium,soft,0.003
5898.jpg,male,20-29,black,brown,dark,round,straight,medium,soft,0.004
7539.jpg,female,30-39,black,brown,dark,round,straight,medium,soft,0.004
8569.jpg,male,20-29,black,brown,dark,round,straight,medium,soft,0.004
8819.jpg,female,40-49,black,brown,medium,round,straight,medium,soft,0.004
9781.jpg,male,50-59,black,brown,brown,square,straight,medium,soft,0.004
10148.jpg,female,20-29,black,brown,medium,round,straight,medium,soft,0.005
1664.jpg,male,30-39,black,brown,brown,round,straight,medium,soft,0.005
2354.jpg,male,10-19,black,brown,dark,square,straight,medium,soft,0.005
3848.jpg,male,10-19,black,brown,brown,square,straight,medium,soft,0.005
4062.jpg,male,20-29,black,brown,medium,round,straight,medium,soft,0.005
4449.jpg,male,3-9,black,brown,medium,round,straight,medium,soft,0.005
6326.jpg,female,3-9,black,brown,medium,round,straight,medium,soft,0.005
7204.jpg,female,30-39,black,brown,olive,round,straight,medium,soft,0.005
7332.jpg,male,30-39,black,brown,brown,square,straight,medium,soft,0.005
8737.jpg,male,3-9,black,brown,medium,round,straight,medium,soft,0.005
1095.jpg,female,10-19,black,brown,brown,round,straight,medium,soft,0.006
1244.jpg,male,30-39,black,brown,dark,round,straight,medium,soft,0.006
2642.jpg,female,3-9,black,brown,brown,round,straight,medium,soft,0.006
4063.jpg,female,3-9,black,brown,fair,square,straight,medium,soft,0.006
4192.jpg,male,20-29,black,brown,fair,square,straight,medium,soft,0.006
4741.jpg,female,3-9,black,brown,brown,round,straight,medium,soft,0.006
5283.jpg,female,3-9,black,brown,fair,square,straight,medium,soft,0.006
5320.jpg,female,20-29,black,brown,dark,round,straight,medium,soft,0.006
5699.jpg,male,30-39,black,brown,dark,square,straight,medium,soft,0.006
7569.jpg,male,30-39,black,brown,fair,round,straight,medium,soft,0.006
7774.jpg,female,30-39,black,brown,olive,round,straight,medium,soft,0.006
7873.jpg,female,3-9,black,brown,olive,round,straight,medium,soft,0.006
8910.jpg,male,10-19,black,brown,brown,round,straight,medium,soft,0.006
6141.jpg,male,3-9,black,brown,fair,round,straight,medium,soft,0.007
6662.jpg,female,20-29,black,brown,fair,round,straight,medium,soft,0.007
9340.jpg,female,50-59,black,brown,brown,round,straight,medium,soft,0.007
10005.jpg,female,30-39,black,brown,medium,square,straight,medium,soft,0.008
10458.jpg,female,30-39,black,brown,brown,round,straight,medium,soft,0.008
2630.jpg,male,20-29,black,brown,olive,round,straight,medium,soft,0.008
3137.jpg,male,40-49,black,brown,brown,square,straight,medium,soft,0.008
