file,sex,age,hairColor,eyeColor,skinTone,faceShape,noseStructure,lipStructure,cheekboneStructure
13.jpg,female,40-49,black,brown,medium,oval,straight,medium,soft
14.jpg,male,20-29,black,brown,medium,oval,straight,medium,soft
31.jpg,female,3-9,black,brown,medium,oval,straight,medium,soft
32.jpg,female,40-49,black,brown,medium,oval,straight,medium,soft
40.jpg,female,50-59,black,brown,medium,oval,straight,medium,soft
42.jpg,female,20-29,black,brown,medium,oval,straight,medium,soft
70.jpg,male,20-29,black,brown,medium,oval,straight,medium,soft
74.jpg,female,30-39,black,brown,medium,oval,straight,medium,soft
76.jpg,male,20-29,black,brown,medium,oval,straight,medium,soft
91.jpg,female,10-19,black,brown,medium,oval,straight,medium,soft
93.jpg,female,20-29,black,brown,medium,oval,straight,medium,soft
97.jpg,female,50-59,black,brown,medium,oval,straight,medium,soft
104.jpg,male,10-19,black,brown,medium,oval,straight,medium,soft
109.jpg,male,3-9,black,brown,medium,oval,straight,medium,soft
110.jpg,male,30-39,black,brown,medium,oval,straight,medium,soft
111.jpg,male,20-29,black,brown,medium,oval,straight,medium,soft
112.jpg,female,30-39,black,brown,medium,oval,straight,medium,soft
117.jpg,male,3-9,black,brown,medium,oval,straight,medium,soft
118.jpg,female,30-39,black,brown,medium,oval,straight,medium,soft
124.jpg,male,3-9,black,brown,medium,oval,straight,medium,soft
136.jpg,female,40-49,black,brown,medium,oval,straight,medium,soft
182.jpg,male,3-9,black,brown,medium,oval,straight,medium,soft
185.jpg,male,10-19,black,brown,medium,oval,straight,medium,soft
187.jpg,male,3-9,black,brown,medium,oval,straight,medium,soft
189.jpg,male,3-9,black,brown,medium,oval,straight,medium,soft
195.jpg,male,20-29,black,brown,medium,oval,straight,medium,soft
204.jpg,male,20-29,black,brown,medium,oval,straight,medium,soft
211.jpg,male,50-59,black,brown,medium,oval,straight,medium,soft
220.jpg,male,30-39,black,brown,medium,oval,straight,medium,soft
240.jpg,male,3-9,black,brown,medium,oval,straight,medium,soft
245.jpg,male,40-49,black,brown,medium,oval,straight,medium,soft
247.jpg,male,20-29,black,brown,medium,oval,straight,medium,soft
258.jpg,female,0-2,black,brown,medium,oval,straight,medium,soft
259.jpg,female,30-39,black,brown,medium,oval,straight,medium,soft
265.jpg,female,20-29,black,brown,medium,oval,straight,medium,soft
270.jpg,female,30-39,black,brown,medium,oval,straight,medium,soft
274.jpg,male,10-19,black,brown,medium,oval,straight,medium,soft
278.jpg,female,3-9,black,brown,medium,oval,straight,medium,soft
295.jpg,male,20-29,black,brown,medium,oval,straight,medium,soft
300.jpg,male,50-59,black,brown,medium,oval,straight,medium,soft
301.jpg,male,40-49,black,brown,medium,oval,straight,medium,soft
318.jpg,female,10-19,black,brown,medium,oval,straight,medium,soft
321.jpg,male,20-29,black,brown,medium,oval,straight,medium,soft
327.jpg,male,20-29,black,brown,medium,oval,straight,medium,soft
328.jpg,female,20-29,black,brown,medium,oval,straight,medium,soft
335.jpg,male,20-29,black,brown,medium,oval,straight,medium,soft
349.jpg,male,50-59,black,brown,medium,oval,straight,medium,soft
